WWR-NS,WWR-EW,ShadeDepth,SHGC,VLT,ExWall,EUI (kWh/m2),ELECp (W/m2),CLGp (W/m2),Daylight Autonomy,Excessive Daylight,OT26% - Patient North,OT26% - Patient South,img,EUI Saved(-)Wasted(+),REF_ELECp,REF_CLGp,REF_DA,REF_ExcDA
20,80,0,0.34,0.42,1.4,124.87,22,47.96,36.8,2.21,0.05,0.19,WWR-NS0_WWR-EW3_ShadeDepth0_SHGCVLT1_ExWall0.png,-0.94,-1.30,-2.18,44.75,-41.22
40,80,0,0.34,0.42,1.4,132.52,24.05,53.58,62.62,3.59,10.98,5.29,WWR-NS1_WWR-EW3_ShadeDepth0_SHGCVLT1_ExWall0.png,5.13,7.90,9.28,5.99,-4.52
60,80,0,0.34,0.42,1.4,140.26,26.06,58.78,79.55,5.59,25.05,11.52,WWR-NS2_WWR-EW3_ShadeDepth0_SHGCVLT1_ExWall0.png,11.27,16.91,19.89,-19.43,48.67
80,80,0,0.34,0.42,1.4,147.01,27.85,64.08,86.05,7.64,33.37,17.55,WWR-NS3_WWR-EW3_ShadeDepth0_SHGCVLT1_ExWall0.png,16.63,24.94,30.70,-29.18,103.19
20,20,300,0.34,0.42,1.4,119.37,20.61,44.1,20.97,0.96,0,0.03,WWR-NS0_WWR-EW0_ShadeDepth1_SHGCVLT1_ExWall0.png,-5.30,-7.54,-10.06,68.52,-74.47
40,20,300,0.34,0.42,1.4,126.17,22.41,49.1,49.67,1.84,6.58,3.31,WWR-NS1_WWR-EW0_ShadeDepth1_SHGCVLT1_ExWall0.png,0.10,0.54,0.14,25.43,-51.06
60,20,300,0.34,0.42,1.4,132.88,24.34,54.35,70.55,3.72,21.39,9.11,WWR-NS2_WWR-EW0_ShadeDepth1_SHGCVLT1_ExWall0.png,5.42,9.20,10.85,-5.92,-1.06
80,20,300,0.34,0.42,1.4,140.84,26.42,59.93,78.34,5.76,31.19,15.19,WWR-NS3_WWR-EW0_ShadeDepth1_SHGCVLT1_ExWall0.png,11.73,18.53,22.23,-17.61,53.19
20,40,300,0.34,0.42,1.4,120.79,20.94,45.04,25.37,1.11,0,0.06,WWR-NS0_WWR-EW1_ShadeDepth1_SHGCVLT1_ExWall0.png,-4.17,-6.06,-8.14,61.91,-70.48
40,40,300,0.34,0.42,1.4,127.32,22.73,50.02,53.32,1.98,6.52,3.4,WWR-NS1_WWR-EW1_ShadeDepth1_SHGCVLT1_ExWall0.png,1.01,1.97,2.02,19.95,-47.34
60,40,300,0.34,0.42,1.4,133.86,24.55,55.01,73.11,3.88,21.42,9.34,WWR-NS2_WWR-EW1_ShadeDepth1_SHGCVLT1_ExWall0.png,6.20,10.14,12.20,-9.76,3.19
80,40,300,0.34,0.42,1.4,141.8,26.61,60.62,80.44,5.91,31.2,15.35,WWR-NS3_WWR-EW1_ShadeDepth1_SHGCVLT1_ExWall0.png,12.50,19.38,23.64,-20.76,57.18
20,60,300,0.34,0.42,1.4,122.05,21.3,46.05,30.84,1.4,0,0.07,WWR-NS0_WWR-EW2_ShadeDepth1_SHGCVLT1_ExWall0.png,-3.17,-4.44,-6.08,53.70,-62.77
40,60,300,0.34,0.42,1.4,128.56,23.07,50.98,57.82,2.29,6.47,3.54,WWR-NS1_WWR-EW2_ShadeDepth1_SHGCVLT1_ExWall0.png,1.99,3.50,3.98,13.20,-39.10
60,60,300,0.34,0.42,1.4,135.08,24.89,55.94,76.45,4.17,21.43,9.61,WWR-NS2_WWR-EW2_ShadeDepth1_SHGCVLT1_ExWall0.png,7.16,11.66,14.09,-14.77,10.90
80,60,300,0.34,0.42,1.4,142.85,26.82,61.41,83.39,6.23,31.2,15.54,WWR-NS3_WWR-EW2_ShadeDepth1_SHGCVLT1_ExWall0.png,13.33,20.32,25.25,-25.19,65.69
20,80,300,0.34,0.42,1.4,123.3,21.63,47.03,35.02,1.72,0,0.08,WWR-NS0_WWR-EW3_ShadeDepth1_SHGCVLT1_ExWall0.png,-2.18,-2.96,-4.08,47.43,-54.26
40,80,300,0.34,0.42,1.4,129.86,23.42,51.92,61.04,2.61,6.52,3.77,WWR-NS1_WWR-EW3_ShadeDepth1_SHGCVLT1_ExWall0.png,3.02,5.07,5.89,8.36,-30.59
